ms,valve_a_pct,valve_b_pct,q_des,pid_u,adc0_raw,adc0_volt,adc0_kpa,adc1_raw,adc1_volt,adc1_kpa,tension_0x2B,tension_0x2A,enc_deg
1,49.990996392881236,50.009003607118764,0.08545512266720955,-0.01800721423752883,0,0.0,-146.25,2,0.002442002442002442,-145.88553113553112,2.193309727604669,2.2635397372689843,0.0
33,49.98674961733475,50.01325038266525,-0.0010843226661672774,-0.026500765330501382,0,0.0,-146.25,1,0.001221001221001221,-146.06776556776558,2.1931259883901006,2.2633657513799124,0.0
68,49.98883141137913,50.01116858862087,-0.088,-0.022337177241741266,1,0.001221001221001221,-146.06776556776558,4,0.004884004884004884,-145.52106227106225,2.193311385008732,2.2634010797808157,0.0
104,49.98824781602333,50.01175218397667,-0.09836043466689684,-0.023504367953342008,2,0.002442002442002442,-145.88553113553112,0,0.0,-146.25,2.193153498083582,2.2632817773533134,0.0
133,49.98416544850396,50.01583455149604,-0.176,-0.03166910299208324,1,0.001221001221001221,-146.06776556776558,0,0.0,-146.25,2.193179240554702,2.2632817773533134,0.0
167,49.97741129348029,50.02258870651971,-0.176,-0.04517741303942743,0,0.0,-146.25,0,0.0,-146.25,2.193179240554702,2.263545992794377,0.0
200,49.96194465241589,50.03805534758411,-0.352239632276068,-0.07611069516822724,0,0.0,-146.25,0,0.0,-146.25,2.1933871856288456,2.26346200873686,0.0
233,49.96382922685978,50.03617077314022,-0.44009263733658005,-0.07234154628044016,0,0.0,-146.25,0,0.0,-146.25,2.193242880540077,2.263497339391489,0.0
267,49.952603946434664,50.047396053565336,-0.5309237129451597,-0.09479210713067232,0,0.0,-146.25,1,0.001221001221001221,-146.06776556776558,2.1933940366073728,2.263497339391489,0.0
300,49.936933902825956,50.063066097174044,-0.7037758026729183,-0.12613219434808864,0,0.0,-146.25,0,0.0,-146.25,2.1933940366073728,2.263359612430666,0.0
339,49.9417518144977,50.0582481855023,-0.879,-0.11649637100460508,0,0.0,-146.25,0,0.0,-146.25,2.193476250853434,2.2633516202511483,0.0
367,49.94750809859688,50.05249190140312,-0.8809717642370242,-0.10498380280624488,1,0.001221001221001221,-146.06776556776558,0,0.0,-146.25,2.193510508153553,2.263454942705199,0.0
400,49.97592786322506,50.02407213677494,-0.9654166133363036,-0.048144273549882675,0,0.0,-146.25,1,0.001221001221001221,-146.06776556776558,2.1933871856288456,2.263454942705199,0.0
436,50.06117505469482,49.93882494530518,-0.47161576400583727,0.12235010938964161,0,0.0,-146.25,5,0.006105006105006105,-145.33882783882785,2.1933871856288456,2.26370586502065,0.0
471,50.12356820345898,49.87643179654102,0.2957231310855259,0.24713640691796046,0,0.0,-146.25,0,0.0,-146.25,2.193371494798966,2.263649212707353,0.0
513,50.17994999665679,49.82005000334321,1.2778348356395388,0.3598999933135747,0,0.0,-146.25,0,0.0,-146.25,2.193371494798966,2.2637898626508144,0.0
533,50.206431335733285,49.793568664266715,1.7681724517729094,0.41286267146656636,0,0.0,-146.25,1,0.001221001221001221,-146.06776556776558,2.1935999124361953,2.26346200873686,0.0
567,50.2268788226791,49.7731211773209,2.560875154497059,0.4537576453581967,0,0.0,-146.25,2,0.002442002442002442,-145.88553113553112,2.1933733732697287,2.26346200873686,0.0
600,50.241624921553004,49.758375078446996,3.0786298331829993,0.48324984310601016,0,0.0,-146.25,0,0.0,-146.25,2.1933733732697287,2.263553059252401,0.0
633,50.282607720760915,49.717392279239085,3.6988772213323196,0.5652154415218236,0,0.0,-146.25,1,0.001221001221001221,-146.06776556776558,2.1934008876179996,2.263497339391489,0.0
673,50.29519100365695,49.70480899634305,4.374727504388655,0.5903820073139111,4,0.004884004884004884,-145.52106227106225,2,0.002442002442002442,-145.88553113553112,2.1932360302697305,2.263843623587718,0.0
700,50.29615348265893,49.70384651734107,4.659049045345281,0.5923069653178582,1,0.001221001221001221,-146.06776556776558,0,0.0,-146.25,2.1936822487794854,2.263765879402305,0.0
734,50.32499828039537,49.67500171960463,5.021061536213792,0.6499965607907469,0,0.0,-146.25,1,0.001221001221001221,-146.06776556776558,2.1936822487794854,2.263765879402305,0.0
767,50.34993394849911,49.65006605150089,5.460118261644685,0.6998678969982157,0,0.0,-146.25,1,0.001221001221001221,-146.06776556776558,2.193826486701094,2.263734134045961,0.0
800,50.37093560487365,49.62906439512635,5.802339043136734,0.741871209747295,0,0.0,-146.25,0,0.0,-146.25,2.1936822487794854,2.263734134045961,0.0
833,50.40457462127885,49.59542537872115,6.245723213333016,0.80914924255769,1,0.001221001221001221,-146.06776556776558,0,0.0,-146.25,2.1936822487794854,2.2639568290635705,0.0
867,50.430291546518404,49.569708453481596,6.689861863868402,0.8605830930368048,0,0.0,-146.25,0,0.0,-146.25,2.193721705556075,2.263934697130844,0.0
905,50.45807572841253,49.54192427158747,7.189120000013654,0.9161514568250558,1,0.001221001221001221,-146.06776556776558,2,0.002442002442002442,-145.88553113553112,2.1935313944496824,2.263991360161768,0.0
933,50.47120213510528,49.52879786489472,7.562350627976444,0.942404270210553,0,0.0,-146.25,1,0.001221001221001221,-146.06776556776558,2.1935313944496824,2.2639073513166488,0.0
967,50.475660820548754,49.524339179451246,7.827960599770263,0.9513216410975059,0,0.0,-146.25,0,0.0,-146.25,2.1934008876179996,2.2639073513166488,0.0
1001,50.48076989378295,49.51923010621705,8.087964381333286,0.9615397875658943,0,0.0,-146.25,2,0.002442002442002442,-145.88553113553112,2.1934008876179996,2.263934697130844,0.0
1040,50.48778252147846,49.51221747852154,8.209121189340095,0.97556504295691,0,0.0,-146.25,0,0.0,-146.25,2.1935294052657692,2.263734134045961,0.0
1067,50.50570700137502,49.49429299862498,8.353859244119164,1.011414002750045,0,0.0,-146.25,1,0.001221001221001221,-146.06776556776558,2.193489953677178,2.263921487650261,0.0
1104,50.5290057063629,49.4709942936371,8.556591360009042,1.058011412725807,2,0.002442002442002442,-145.88553113553112,1,0.001221001221001221,-146.06776556776558,2.193721705556075,2.263921487650261,0.0
