ms,valve_a_pct,valve_b_pct,q_des,pid_u,adc0_raw,adc0_volt,adc0_kpa,adc1_raw,adc1_volt,adc1_kpa,enc_deg
0,49.99105953165453,50.00894046834547,0.08670128266654016,-0.017880936690946612,2796,3.4139194139194142,363.2774725274726,2779,3.3931623931623935,360.17948717948724,0.0
33,49.9867505551303,50.0132494448697,-0.0010887893328908789,-0.026498889739404993,2728,3.3308913308913306,350.88553113553104,2711,3.31013431013431,347.78754578754575,0.0
67,50.006468958055926,49.993531041944074,-0.088,0.012937916111852322,2621,3.2002442002442,331.38644688644683,2635,3.2173382173382175,333.93772893772893,-0.087890625
100,49.95800245084252,50.04199754915748,-0.0881855786659386,-0.08399509831496407,2545,3.1074481074481075,317.53663003663,2555,3.1196581196581197,319.35897435897436,0.087890625
133,49.92681256117735,50.07318743882265,-0.176,-0.14637487764530496,2484,3.032967032967033,306.42032967032964,2511,3.065934065934066,311.34065934065933,0.3515625
167,49.959375463547794,50.040624536452206,-0.176,-0.08124907290441699,2464,3.0085470085470085,302.77564102564105,2484,3.032967032967033,306.42032967032964,0.3515625
200,49.978942825867925,50.021057174132075,-0.3521770265454979,-0.04211434826415538,2455,2.9975579975579976,301.13553113553115,2471,3.017094017094017,304.051282051282,0.17578125
233,49.98962053466933,50.01037946533067,-0.4400728879998884,-0.020758930661349425,2457,3.0,301.5,2465,3.0097680097680097,302.95787545787545,0.0
267,49.95203801410334,50.04796198589666,-0.5307852423524189,-0.09592397179332768,2465,3.0097680097680097,302.95787545787545,2461,3.004884004884005,302.2289377289377,0.0
300,49.95398244283271,50.04601755716729,-0.7033390613332158,-0.09203511433458257,2466,3.010989010989011,303.14010989010984,2460,3.0036630036630036,302.0467032967033,-0.087890625
333,49.944493201986255,50.055506798013745,-0.879,-0.1110135960274859,2466,3.010989010989011,303.14010989010984,2461,3.004884004884005,302.2289377289377,-0.087890625
367,49.95146319615501,50.04853680384499,-0.8808599317650541,-0.09707360768998119,2463,3.0073260073260073,302.59340659340654,2460,3.0036630036630036,302.0467032967033,-0.087890625
400,49.97986984815173,50.02013015184827,-0.966006186667733,-0.04026030369654357,2462,3.006105006105006,302.41117216117215,2464,3.0085470085470085,302.77564102564105,-0.087890625
433,50.06124584272714,49.93875415727286,-0.5186405417942472,0.12249168545428135,2466,3.010989010989011,303.14010989010984,2465,3.0097680097680097,302.95787545787545,-0.087890625
467,50.12161646595971,49.87838353404029,0.19291644232333555,0.24323293191941675,2475,3.021978021978022,304.78021978021974,2464,3.0085470085470085,302.77564102564105,-0.087890625
500,50.16773094435794,49.83226905564206,0.9686188174481475,0.3354618887158876,2464,3.0085470085470085,302.77564102564105,2473,3.0195360195360195,304.4157509157509,-0.087890625
533,50.21039298252802,49.78960701747198,1.7674564769096368,0.4207859650560414,2469,3.0146520146520146,303.6868131868132,2462,3.006105006105006,302.41117216117215,-0.087890625
567,50.24853680951678,49.75146319048322,2.5602392049981306,0.49707361903356173,2467,3.012210012210012,303.3223443223443,2463,3.0073260073260073,302.59340659340654,-0.17578125
600,50.26777445567386,49.73222554432614,3.0771423159035907,0.5355489113477151,2467,3.012210012210012,303.3223443223443,2457,3.0,301.5,-0.263671875
633,50.29583468729738,49.70416531270262,3.69841860000209,0.5916693745947652,2466,3.010989010989011,303.14010989010984,2455,2.9975579975579976,301.13553113553115,-0.263671875
667,50.326668772727594,49.673331227272406,4.314618372410142,0.6533375454551907,2469,3.0146520146520146,303.6868131868132,2451,2.9926739926739927,300.4065934065934,-0.3515625
700,50.31418963896031,49.68581036103969,4.658746655998714,0.6283792779206109,2474,3.0207570207570207,304.59798534798534,2453,2.995115995115995,300.77106227106225,-0.3515625
733,50.34300975563627,49.65699024436373,5.015350997606629,0.6860195112725316,2477,3.0244200244200243,305.14468864468864,2453,2.995115995115995,300.77106227106225,-0.3515625
767,50.38621071585407,49.61378928414593,5.462436191998997,0.7724214317081357,2476,3.023199023199023,304.9624542124542,2456,2.998778998778999,301.31776556776555,-0.439453125
800,50.39425297271837,49.60574702728163,5.8030383036070345,0.7885059454367376,2467,3.012210012210012,303.3223443223443,2444,2.984126984126984,299.1309523809524,-0.439453125
833,50.42811483920539,49.57188516079461,6.245239240000472,0.8562296784107903,2465,3.0097680097680097,302.95787545787545,2445,2.9853479853479854,299.3131868131868,-0.439453125
867,50.454126712612606,49.545873287387394,6.689444219910927,0.9082534252252058,2483,3.0317460317460316,306.2380952380952,2451,2.9926739926739927,300.4065934065934,-0.439453125
900,50.498317306015956,49.501682693984044,7.120645906663421,0.996634612031912,2463,3.0073260073260073,302.59340659340654,2452,2.993894993894994,300.58882783882785,-0.52734375
933,50.500109803401294,49.499890196598706,7.562523482725359,1.0002196068025857,2476,3.023199023199023,304.9624542124542,2443,2.982905982905983,298.94871794871796,-0.52734375
967,50.50492063011665,49.49507936988335,7.827705754352391,1.009841260233296,2464,3.0085470085470085,302.77564102564105,2442,2.9816849816849818,298.7664835164835,-0.52734375
1000,50.510410075162774,49.489589924837226,8.086175749333721,1.0208201503255467,2464,3.0085470085470085,302.77564102564105,2443,2.982905982905983,298.94871794871796,-0.52734375
1033,50.514909267955574,49.485090732044426,8.176135594665945,1.0298185359111407,2465,3.0097680097680097,302.95787545787545,2441,2.9804639804639805,298.58424908424905,-0.52734375
1067,50.553670063397924,49.446329936602076,8.35425413161638,1.1073401267958503,2479,3.0268620268620268,305.5091575091575,2448,2.989010989010989,299.8598901098901,-0.615234375
1100,50.56176456297447,49.43823543702553,8.525590351998835,1.1235291259489355,2472,3.0183150183150182,304.2335164835165,2439,2.978021978021978,298.21978021978026,-0.615234375
1133,50.58853095093559,49.41146904906441,8.792277464000653,1.1770619018711828,2467,3.012210012210012,303.3223443223443,2438,2.976800976800977,298.03754578754575,-0.615234375
1167,50.62073348271037,49.37926651728963,9.062509488880597,1.241466965420736,2465,3.0097680097680097,302.95787545787545,2436,2.9743589743589745,297.6730769230769,-0.615234375
1200,50.662207390713846,49.337792609286154,9.492976519996283,1.3244147814276888,2465,3.0097680097680097,302.95787545787545,2433,2.970695970695971,297.1263736263736,-0.615234375
1233,50.67891746347295,49.32108253652705,9.935220921150593,1.3578349269458923,2472,3.0183150183150182,304.2335164835165,2444,2.984126984126984,299.1309523809524,-0.615234375
1267,50.70983444351247,49.29016555648753,10.20261283858654,1.419668887024942,2464,3.0085470085470085,302.77564102564105,2434,2.971916971916972,297.30860805860806,-0.703125
1300,50.72801574183746,49.27198425816254,10.547756139091696,1.4560314836749153,2467,3.012210012210012,303.3223443223443,2435,2.9731379731379732,297.4908424908425,-0.703125
1333,50.74745761682772,49.25254238317228,10.9012260560008,1.4949152336554274,2469,3.0146520146520146,303.6868131868132,2431,2.9682539682539684,296.76190476190476,-0.703125
1367,50.761868529976375,49.238131470023625,11.169168966587087,1.5237370599527487,2473,3.0195360195360195,304.4157509157509,2436,2.9743589743589745,297.6730769230769,-0.703125
1400,50.80702099447549,49.19297900552451,11.426738216818901,1.6140419889509738,2463,3.0073260073260073,302.59340659340654,2428,2.9645909645909647,296.21520146520146,-0.791015625
1433,50.84056935099074,49.15943064900926,11.783522623996598,1.6811387019814834,2476,3.023199023199023,304.9624542124542,2429,2.965811965811966,296.3974358974359,-0.791015625
1467,50.881640673741344,49.118359326258656,12.314566868763254,1.763281347482686,2464,3.0085470085470085,302.77564102564105,2428,2.9645909645909647,296.21520146520146,-0.791015625
1500,50.932165821519604,49.067834178480396,12.745540626248015,1.8643316430392065,2470,3.015873015873016,303.8690476190476,2428,2.9645909645909647,296.21520146520146,-0.87890625
1533,51.00048929183965,48.99951070816035,13.314651307916893,2.0009785836792977,2478,3.0256410256410255,305.32692307692304,2426,2.9621489621489623,295.8507326007326,-0.966796875
1567,51.08040338508805,48.91959661491195,14.078128288002668,2.160806770176092,2486,3.0354090354090353,306.7847985347985,2433,2.970695970695971,297.1263736263736,-1.142578125
1600,51.11549161025811,48.88450838974189,14.7669968763948,2.2309832205162206,2490,3.04029304029304,307.51373626373623,2426,2.9621489621489623,295.8507326007326,-1.318359375
1633,51.13694369922357,48.86305630077643,15.297302592000186,2.273887398447149,2500,3.0525030525030528,309.33608058608064,2428,2.9645909645909647,296.21520146520146,-1.494140625
1667,51.14333362005224,48.85666637994776,15.652634982971698,2.286667240104479,2501,3.053724053724054,309.51831501831504,2424,2.95970695970696,295.48626373626377,-1.58203125
1700,51.17009808623588,48.82990191376412,15.996547832000303,2.340196172471757,2500,3.0525030525030528,309.33608058608064,2419,2.9536019536019538,294.5750915750916,-1.669921875
1733,51.207697356057054,48.792302643942946,16.265360589092886,2.4153947121141144,2511,3.065934065934066,311.34065934065933,2418,2.9523809523809526,294.39285714285717,-1.7578125
1767,51.265373939860844,48.734626060139156,16.710425857880633,2.530747879721684,2504,3.0573870573870576,310.06501831501834,2414,2.9474969474969477,293.6639194139195,-1.845703125
1800,51.29739906578287,48.70260093421713,17.22812610317844,2.594798131565737,2517,3.0732600732600734,312.434065934066,2417,2.9511599511599513,294.2106227106227,-1.845703125
1833,51.34892808742706,48.65107191257294,17.759419215543275,2.697856174854126,2510,3.064713064713065,311.15842490842493,2423,2.9584859584859586,295.3040293040293,-1.93359375
1867,51.357176065498116,48.642823934501884,18.200606699295204,2.7143521309962324,2512,3.0671550671550674,311.5228937728938,2428,2.9645909645909647,296.21520146520146,-1.93359375
1900,51.39249859968495,48.60750140031505,18.54597700800034,2.784997199369902,2508,3.0622710622710625,310.79395604395603,2414,2.9474969474969477,293.6639194139195,-2.021484375
1933,51.387265093986784,48.612734906013216,18.810067669272726,2.774530187973564,2510,3.064713064713065,311.15842490842493,2419,2.9536019536019538,294.5750915750916,-2.021484375
1967,51.42309518615867,48.57690481384133,18.901645779762834,2.846190372317339,2512,3.0671550671550674,311.5228937728938,2412,2.9450549450549453,293.29945054945057,-2.109375
