ms,valve_a_pct,valve_b_pct,q_des,pid_u,adc0_raw,adc0_volt,adc0_kpa,adc1_raw,adc1_volt,adc1_kpa,tension_0x2B,tension_0x2A,enc_deg
1,49.99104639993537,50.00895360006463,0.08644210399896837,-0.017907200129257096,2793,3.4102564102564106,362.7307692307692,2796,3.4139194139194142,363.2774725274726,2.6133917216173104,2.5925369684789037,0.0
33,50.00438712742227,49.99561287257773,-0.00108988266678837,0.008774254844537234,2675,3.266178266178266,341.2271062271062,2707,3.305250305250305,347.058608058608,2.613632887420781,2.592036365083102,-0.087890625
67,50.02861722217134,49.97138277782866,-0.088,0.057234444342676744,2600,3.1746031746031744,327.55952380952374,2585,3.156288156288156,324.8260073260073,2.542521880253938,2.5433478641639433,-0.263671875
100,50.00235680731512,49.99764319268488,-0.08820411200093801,0.0047136146302317085,2522,3.0793650793650795,313.34523809523813,2503,3.0561660561660564,309.8827838827839,2.4612817278457912,2.3883014388195587,-0.263671875
133,49.99793496013475,50.00206503986525,-0.176,-0.0041300797304996174,2464,3.0085470085470085,302.77564102564105,2460,3.0036630036630036,302.0467032967033,2.4612817278457912,2.3883014388195587,-0.263671875
167,49.99137222894639,50.00862777105361,-0.176,-0.017255542107226365,2460,3.0036630036630036,302.0467032967033,2452,2.993894993894994,300.58882783882785,2.3677461376214026,2.2791975421067754,-0.263671875
201,49.97611631342656,50.02388368657344,-0.3539013929082244,-0.047767373146881474,2465,3.0097680097680097,302.95787545787545,2453,2.995115995115995,300.77106227106225,2.3455135715615247,2.258617970971551,-0.263671875
233,49.97813669164734,50.02186330835266,-0.44005754933415053,-0.043726616705307336,2461,3.004884004884005,302.2289377289377,2467,3.012210012210012,303.3223443223443,2.347653155275423,2.258694641816919,-0.263671875
267,49.96709199876404,50.03290800123596,-0.5308220936452271,-0.06581600247191832,2462,3.006105006105006,302.41117216117215,2455,2.9975579975579976,301.13553113553115,2.347653155275423,2.258694641816919,-0.263671875
300,49.951579518935475,50.048420481064525,-0.7033726826650867,-0.09684096212905755,2459,3.0024420024420024,301.86446886446885,2453,2.995115995115995,300.77106227106225,2.3528013195061104,2.258646260211522,-0.263671875
333,49.955392393439574,50.044607606560426,-0.879,-0.08921521312085014,2464,3.0085470085470085,302.77564102564105,2471,3.017094017094017,304.051282051282,2.3520659005698623,2.2584171903744434,-0.263671875
