ms,valve_a_pct,valve_b_pct,q_des,pid_u,tension_0x2B,tension_0x2A
1,49.99104726248468,50.00895273751532,0.08645912799840637,-0.017905475030647607,2.6045998089716123,2.5759404261350936,-0.0
33,49.98674967686865,50.01325032313135,-0.0010588720018664954,-0.026500646262703095,2.584876435932584,2.5757098016818016,-0.0
67,49.98883209768312,50.01116790231688,-0.088,-0.022335804633760992,2.584876435932584,2.468983579834605,-0.0
100,49.98875953078591,50.01124046921409,-0.08827434666699262,-0.02248093842817259,2.499228138956384,2.468983579834605,-0.0
133,49.984177297672545,50.015822702327455,-0.176,-0.031645404654912376,2.3872480367038227,2.3084192708162936,-0.0
167,49.97742553946478,50.02257446053522,-0.176,-0.045148921070432044,2.335587370956053,2.258314328112227,-0.0
200,49.961951143569536,50.038048856430464,-0.35220422591042,-0.07609771286093095,2.335587370956053,2.25870180104092,-0.0
233,49.963838582434676,50.036161417565324,-0.4400768560003683,-0.07232283513064687,2.3336239539043344,2.25870180104092,-0.0
267,49.95263259225031,50.04736740774969,-0.5306857920013272,-0.09473481549938213,2.336220570284927,2.258356695892064,-0.0
300,49.93692824932594,50.06307175067406,-0.7031968106672091,-0.12614350134813118,2.3393898241666853,2.2586875980974916,-0.0
334,49.94067712641375,50.05932287358625,-0.879,-0.11864574717249703,2.3393898241666853,2.258847071357658,-0.0
367,49.947489848834266,50.052510151165734,-0.8808931517656602,-0.10502030233146945,2.343647587186043,2.258847071357658,-0.0
400,49.97586094216412,50.02413905783588,-0.9658216799999163,-0.048278115671764564,2.3435306709924113,2.25870180104092,-0.0
433,50.05715189129031,49.94284810870969,-0.5185523898377207,0.11430378258061706,2.345337868893032,2.2584878473128764,-0.0
467,50.117474565010085,49.882525434989915,0.1932230246337281,0.2349491300201621,2.345337868893032,2.258265843287618,-0.0
500,50.16355111599632,49.83644888400368,0.9693493658856585,0.32710223199263533,2.3486065040174786,2.258265843287618,-0.0
533,50.20612219932289,49.79387780067711,1.7676939447041347,0.41224439864577533,2.3479610421672747,2.25886820485277,-0.0
567,50.22656802298433,49.77343197701567,2.5603560905025704,0.4531360459686611,2.349156819481743,2.2584243482793562,-0.0
600,50.24126046316964,49.75873953683036,3.077583513180115,0.4825209263392713,2.349156819481743,2.2586956810570005,-0.0
633,50.28230313356333,49.71769686643667,3.69854945334373,0.5646062671266661,2.350801693143814,2.2586956810570005,-0.0
667,50.29532269352775,49.70467730647225,4.314594803797624,0.5906453870555004,2.341995585003764,2.2587765130385193,-0.0
700,50.295809964192664,49.704190035807336,4.658988608001112,0.5916199283853213,2.3391270655921526,2.2585221379045186,-0.0
734,50.32445749765737,49.67554250234263,5.0169589614857495,0.6489149953147453,2.3391270655921526,2.2584243482793562,-0.0
767,50.34942099427184,49.65057900572816,5.456743275292436,0.6988419885436705,2.340732543115911,2.2584243482793562,-0.0
800,50.37057836615944,49.62942163384056,5.80214563036169,0.7411567323188814,2.338150415471191,2.258617970971551,-0.0
833,50.40421467320883,49.59578532679117,6.245401133331568,0.8084293464176491,2.3378590474812304,2.258431390767402,-0.0
867,50.4299075178673,49.5700924821327,6.689082651771062,0.8598150357346027,2.3378590474812304,2.2584595610489937,-0.0
900,50.45618380164419,49.54381619835581,7.120526160008021,0.9123676032883681,2.3398785827935193,2.2584595610489937,-0.0
933,50.47081168451021,49.52918831548979,7.562195720972885,0.9416233690204239,2.3379975499300794,2.2588258226779807,-0.0
967,50.47527000525251,49.52472999474749,7.8276773355328,0.9505400105050225,2.33758949547546,2.258328412092033,-0.0
1000,50.48040799381401,49.51959200618599,8.086167530667872,0.9608159876280237,2.33758949547546,2.2585221379045186,-0.0
1033,50.48455615384095,49.51544384615905,8.17614337599945,0.9691123076818926,2.338879438819209,2.258832982525683,-0.0
1067,50.50528721876462,49.49471278123538,8.353797561767848,1.01057443752924,2.337574906710399,2.258832982525683,-0.0
1100,50.52621441499117,49.47378558500883,8.52583333600487,1.0524288299823414,2.3371962544648346,2.25841014795282,-0.0
1133,50.55254709008785,49.44745290991215,8.792226256003778,1.1050941801756995,2.3377423209978616,2.258543266839728,-0.0
1167,50.584348006620395,49.415651993379605,9.062554086119855,1.1686960132407909,2.3377423209978616,2.2585362238283815,-0.0
1200,50.625417723526034,49.374582276473966,9.49340088000141,1.2508354470520653,2.337720435755465,2.2585362238283815,-0.0
1233,50.64170915790964,49.35829084209036,9.935257502064239,1.283418315819282,2.3372832816365605,2.2583890208855926,-0.0
1267,50.65457999763154,49.34542000236846,10.202634517651497,1.3091599952630721,2.3372253034970685,2.2585968409880364,-0.0
1300,50.685471771263174,49.314528228736826,10.547671484278792,1.3709435425263492,2.3372253034970685,2.258353694320736,-0.0
1333,50.704446340423374,49.295553659576626,10.901167888001131,1.4088926808467468,2.3372471817868323,2.258353694320736,-0.0
1367,50.718285555202336,49.281714444797664,11.167796989646323,1.436571110404671,2.335703693222395,2.258694641816919,-0.0
1400,50.74545323556491,49.25454676443509,11.426897113453258,1.4909064711298248,2.33514365339296,2.2586038842829286,-0.0
1433,50.7916374628223,49.2083625371777,11.783471328000653,1.583274925644601,2.33514365339296,2.2586673908885433,-0.0
