ms,valve_a_pct,valve_b_pct,q_des,pid_u,tension_0x2B,tension_0x2A
1,49.99103310837999,50.00896689162001,0.08617977066898795,-0.017933783240024946,2.602817668350359,2.571904335391228,-0.0
34,49.98677853230838,50.01322146769162,-0.0022709519990215346,-0.02644293538323886,2.602817668350359,2.552727640436951,-0.0
67,49.988831103391576,50.011168896608424,-0.088,-0.022337793216843205,2.5636159172767634,2.552727640436951,-0.0
100,49.988762338250915,50.011237661749085,-0.08819931199834292,-0.022475323498165965,2.470557374492878,2.428478387711863,-0.0
133,49.98416937230975,50.01583062769025,-0.176,-0.0316612553804988,2.3644076741647813,2.2746378105141445,-0.0
167,49.97740980196277,50.02259019803723,-0.176,-0.04518039607445892,2.3644076741647813,2.258114511413995,-0.0
200,49.96194971902638,50.03805028097362,-0.3521857265446067,-0.07610056194723591,2.334518293170895,2.258114511413995,-0.0
234,49.9637968648789,50.0362031351211,-0.4404118106657212,-0.07240627024219942,2.3340893149266155,2.2585362238283815,-0.0
267,49.95255607178572,50.04744392821428,-0.5315315392941222,-0.09488785642856074,2.336985027162468,2.2584171903744434,-0.0
300,49.93694358185429,50.06305641814571,-0.7039415519996158,-0.12611283629142486,2.336985027162468,2.2582023536165106,-0.0
334,49.94062545981188,50.05937454018812,-0.879,-0.11874908037623384,2.34135272447529,2.2582023536165106,-0.0
367,49.94749107758917,50.05250892241083,-0.8809034710577536,-0.10501784482166558,2.341652424952057,2.2583011677911564,-0.0
400,49.975806134884955,50.024193865115045,-0.9661058266750773,-0.0483877302300883,2.343523348766197,2.2584808045607563,-0.0
433,50.0571906086766,49.9428093913234,-0.5180734764309939,0.11438121735319812,2.343523348766197,2.258181229465033,-0.0
467,50.11759202529427,49.88240797470573,0.19524179620104476,0.2351840505885392,2.34702276353084,2.258181229465033,-0.0
500,50.16350308070352,49.83649691929648,0.9684547928132853,0.3270061614070406,2.3459530368505908,2.2583496537533985,-0.0
534,50.20621226467371,49.79378773532629,1.7714560365610634,0.412424529347425,2.3459603704669316,2.258322409068136,-0.0
567,50.22657202350606,49.77342797649394,2.560469565993732,0.4531440470121146,2.3459603704669316,2.258230635048391,-0.0
600,50.24125799077592,49.75874200922408,3.0775249018176543,0.48251598155184117,2.343523348766197,2.258230635048391,-0.0
633,50.28231546061854,49.71768453938146,3.699187573326829,0.5646309212370848,2.3375383138256183,2.258335454131342,-0.0
667,50.295324378204356,49.704675621795644,4.314586741117221,0.590648756408716,2.336620854933899,2.258134711203863,-0.0
700,50.29580398004463,49.70419601995537,4.658882666662802,0.5916079600892582,2.336620854933899,2.2583960632083957,-0.0
734,50.3244860084565,49.6755139915435,5.017507698181096,0.6489720169130063,2.3379975499300794,2.257935033756341,-0.0
767,50.34945527096413,49.65054472903587,5.457381958588163,0.6989105419282535,2.3368608320723148,2.257935033756341,-0.0
800,50.37060802059633,49.62939197940367,5.802550920479855,0.741216041192651,2.3358495333086564,2.258473761841579,-0.0
836,50.40558261798573,49.59441738201427,6.273564319996513,0.8111652359714638,2.3358495333086564,2.2579067578772998,-0.0
867,50.429961565476034,49.570038434523966,6.6897272457888075,0.8599231309520659,2.3364677749087397,2.2579067578772998,-0.0
