ms,valve_a_pct,valve_b_pct,q_des,pid_u,adc0_raw,adc0_volt,adc0_kpa,adc1_raw,adc1_volt,adc1_kpa,tension_0x2B,tension_0x2A,enc_deg
1,49.990977200753264,50.009022799246736,0.08507633066767205,-0.018045598493476915,2789,3.4053724053724057,362.00183150183153,2785,3.400488400488401,361.2728937728938,2.6147103489355703,2.5857983923265553,0.0
34,49.98679488931267,50.01320511068733,-0.0029843279999525554,-0.026410221374654364,2677,3.2686202686202686,341.59157509157507,2717,3.317460317460317,348.88095238095235,2.615414926591373,2.5857983923265553,0.0
67,50.04174004882467,49.95825995117533,-0.088,0.08348009764934468,2593,3.166056166056166,326.28388278388275,2593,3.166056166056166,326.28388278388275,2.559297859845079,2.5469955245009683,-0.263671875
100,50.00228298929914,49.99771701070086,-0.08846169333266636,0.004565978598282738,2513,3.0683760683760686,311.70512820512823,2512,3.0671550671550674,311.5228937728938,2.466201436631876,2.416252287727558,-0.263671875
133,49.99787925760337,50.00212074239663,-0.176,-0.004241484793259994,2473,3.0195360195360195,304.4157509157509,2477,3.0244200244200243,305.14468864468864,2.466201436631876,2.2836210864706312,-0.263671875
167,49.991309917857635,50.008690082142365,-0.176,-0.017380164284727648,2453,2.995115995115995,300.77106227106225,2444,2.984126984126984,299.1309523809524,2.3713076692919786,2.2836210864706312,-0.263671875
200,49.97601082474115,50.02398917525885,-0.3521854128170552,-0.047978350517694,2450,2.9914529914529915,300.22435897435895,2449,2.9902319902319903,300.04212454212455,2.345411177759105,2.259026657771866,-0.263671875
233,49.97807445230111,50.02192554769889,-0.4400776239995223,-0.04385109539777933,2453,2.995115995115995,300.77106227106225,2454,2.9963369963369964,300.9532967032967,2.345411177759105,2.25897734155602,-0.263671875
267,49.967004593911646,50.032995406088354,-0.5311317811763181,-0.06599081217670845,2459,3.0024420024420024,301.86446886446885,2453,2.995115995115995,300.77106227106225,2.345411177759105,2.258769353459303,-0.263671875
300,49.95151892690793,50.04848107309207,-0.7033474720006732,-0.09696214618413546,2464,3.0085470085470085,302.77564102564105,2458,3.001221001221001,301.6822344322344,2.349333073972973,2.258832982525683,-0.263671875
333,49.955329122452675,50.044670877547325,-0.879,-0.08934175509465524,2462,3.006105006105006,302.41117216117215,2473,3.0195360195360195,304.4157509157509,2.351102964495763,2.258832982525683,-0.263671875
367,49.962431664474344,50.037568335525656,-0.8809025159984372,-0.07513667105130631,2460,3.0036630036630036,302.0467032967033,2460,3.0036630036630036,302.0467032967033,2.3513969346082235,2.2588117340448037,-0.263671875
