ms,valve_a_pct,valve_b_pct,q_des,pid_u,adc0_raw,adc0_volt,adc0_kpa,adc1_raw,adc1_volt,adc1_kpa,enc_deg
1,49.991052172827835,50.008947827172165,0.08655604266607163,-0.01789565434432549,2805,3.424908424908425,364.9175824175824,2781,3.395604395604396,360.5439560439561,0.0
33,50.02202455110604,49.97797544889396,-0.001116128000265837,0.04404910221208501,2687,3.2808302808302807,343.4139194139194,2704,3.3015873015873014,346.51190476190476,-0.17578125
67,50.05076571826364,49.94923428173636,-0.088,0.10153143652727667,2613,3.1904761904761902,329.9285714285714,2588,3.15995115995116,325.3727106227106,-0.439453125
100,49.958527968490934,50.041472031509066,-0.08821934666656304,-0.0829440630181338,2524,3.081807081807082,313.709706959707,2503,3.0561660561660564,309.8827838827839,-0.17578125
133,49.97597187504378,50.02402812495622,-0.176,-0.04805624991243834,2482,3.0305250305250304,306.0558608058608,2471,3.017094017094017,304.051282051282,-0.087890625
167,49.982467491929846,50.017532508070154,-0.176,-0.035065016140302524,2469,3.0146520146520146,303.6868131868132,2457,3.0,301.5,-0.087890625
200,49.96704822706936,50.03295177293064,-0.35217973409109216,-0.06590354586127273,2457,3.0,301.5,2456,2.998778998778999,301.31776556776555,-0.087890625
233,49.98663027347261,50.01336972652739,-0.4400880026667825,-0.026739453054779566,2469,3.0146520146520146,303.6868131868132,2462,3.006105006105006,302.41117216117215,-0.17578125
267,49.96234703604938,50.03765296395062,-0.530822595764626,-0.07530592790123952,2470,3.015873015873016,303.8690476190476,2465,3.0097680097680097,302.95787545787545,-0.17578125
300,49.946775054285176,50.053224945714824,-0.7033310773327637,-0.1064498914296517,2467,3.012210012210012,303.3223443223443,2457,3.0,301.5,-0.17578125
334,49.950562856103204,50.049437143896796,-0.879,-0.09887428779359075,2463,3.0073260073260073,302.59340659340654,2457,3.0,301.5,-0.17578125
367,49.957576508305685,50.042423491694315,-0.8809190470589872,-0.08484698338862706,2464,3.0085470085470085,302.77564102564105,2460,3.0036630036630036,302.0467032967033,-0.17578125
400,49.986022393053126,50.013977606946874,-0.9660039733335534,-0.027955213893747374,2473,3.0195360195360195,304.4157509157509,2463,3.0073260073260073,302.59340659340654,-0.17578125
