ms,ca,cb,caper,cbper,q,qdes,dq,dqdes,pa,pb,Ta,Tb,pid_u
0,3.0000000032479925,2.9999999967520075,60.00000006495985,59.99999993504015,0.0,1.1429383571811455e-11,0.0,6.495813307549853e-06,363.8241758241759,363.64194139194143,2.565338653228688,2.5965975478153926,6.49598474930893e-08
33,3.000038910089604,2.999961089910396,60.00077820179208,59.99922179820792,0.0,0.001026500457996296,0.0,0.06156043845506319,362.184065934066,361.8195970695971,2.5653737350538544,2.5964915158327093,0.0007781368322316452
66,3.0001336220967807,2.9998663779032193,60.00267244193561,59.99732755806439,0.0,0.004119716248990978,0.0,0.12332632292614638,363.2774725274726,361.8195970695971,2.5650967340194843,2.5964752913774363,0.001894240143528269
100,3.00030149564217,2.99969850435783,60.006029912843395,59.993970087156605,0.0,0.00925732385797049,0.0,0.18486932661101552,363.64194139194143,362.7307692307692,2.564846185961214,2.5964752913774363,0.003357470907790273
133,3.000560790326418,2.999439209673582,60.01121580652836,59.98878419347164,0.0,0.0164367367985522,0.0,0.24633716050101406,364.0064102564103,361.6373626373627,2.564846185961214,2.596641101088687,0.005185893684967895
166,3.000930456949589,2.999069543050411,60.01860913899178,59.98139086100822,0.0,0.025642844197028922,0.0,0.3076842228424814,363.64194139194143,362.7307692307692,2.565539090556428,2.596380224818504,0.00739333246341592
200,3.001431459345915,2.998568540654085,60.028629186918295,59.971370813081705,0.0,0.036973588280195605,0.0,0.369460429731212,363.459706959707,362.36630036630044,2.563722594891892,2.596358878255142,0.010020047926513464
233,3.0020836969909896,2.9979163030090104,60.04167393981979,59.95832606018021,0.0,0.050266607310700435,0.0,0.43078633406984757,363.2774725274726,362.36630036630044,2.5637491256991676,2.596358878255142,0.013044752901489827
266,3.002909853607617,2.997090146392383,60.05819707215233,59.94180292784767,0.0,0.06568751110072533,0.0,0.4924515786602622,363.8241758241759,362.00183150183153,2.5637491256991676,2.5966433784141683,0.016523132332542986
300,3.003931924899224,2.996068075100776,60.078638497984485,59.921361502015515,0.0,0.08310261940263494,0.0,0.55389760478156,363.2774725274726,362.00183150183153,2.5648351475994184,2.5962394846648698,0.02044142583215113
333,3.0051738529885097,2.9948261470114903,60.10347705977019,59.89652294022981,0.0,0.10260696909387944,0.0,0.6154752029639323,362.184065934066,360.72619047619054,2.5633390612880214,2.5964318845912713,0.02483856178570453
366,3.006660295705061,2.993339704294939,60.133205914101225,59.866794085898775,0.0,0.12418812164371724,0.0,0.6771145713650514,360.90842490842493,359.63278388278394,2.563101891551734,2.596535066438274,0.029728854331035757
400,3.008416397413272,2.991583602586728,60.168327948265436,59.831672051734564,0.0,0.14781384904540854,0.0,0.7387197218374525,363.8241758241759,361.0906593406594,2.562990227971133,2.596535066438274,0.03512203416420794
433,3.010467092990432,2.989532907009568,60.20934185980864,59.79065814019136,0.0,0.1733938014927073,0.0,0.8000901332957185,366.0109890109891,360.17948717948724,2.562990227971133,2.5980170090002215,0.04101391154320486
466,3.0128404005485026,2.9871595994514974,60.25680801097005,59.74319198902995,0.0,0.20111801404502974,0.0,0.8616831818779321,365.4642857142857,361.2728937728938,2.5627616195546294,2.6000497644070877,0.047466151161405255
500,3.0175773736391847,2.9824226263608153,60.35154747278369,59.64845252721631,-0.087890625,0.23088545240997022,-2.63507891404,0.9232523367951916,365.6465201465202,361.6373626373627,2.5636184305471277,2.6000497644070877,0.09473946181364246
533,3.02141186913681,2.97858813086319,60.4282373827362,59.5717626172638,-0.087890625,0.2626648758957764,0.0,0.9847435198019888,366.7399267399268,361.2728937728938,2.5636184305471277,2.6008334579271715,0.07668990995250344
566,3.025689991852713,2.974310008147287,60.51379983705426,59.48620016294574,-0.087890625,0.29642671489508193,0.0,1.0461183042587614,366.5576923076923,361.8195970695971,2.564185686430599,2.6021091793363014,0.08556245431805695
600,3.032457798795527,2.967542201204473,60.64915597591054,59.35084402408946,-0.17578125,0.3323017154203673,-2.638228185871647,1.1076139636359772,368.01556776556777,362.00183150183153,2.5644175586371665,2.602735536778917,0.13535613885628037
633,3.0384513979114325,2.9615486020885675,60.769027958228655,59.230972041771345,-0.17578125,0.37038753312525047,0.0,1.1693655920211388,367.28663003663,362.00183150183153,2.564925831949421,2.6038417111249874,0.11987198231811937
666,3.047035144973348,2.952964855026652,60.94070289946696,59.05929710053304,-0.263671875,0.4103348513393907,-2.640390159707012,1.2308108982313903,367.83333333333337,362.7307692307692,2.564925831949421,2.6038417111249874,0.17167494123830576
700,3.0549411298628466,2.9450588701371534,61.098822597256934,58.901177402743066,-0.263671875,0.45225338803617693,0.0,1.2921503368987852,368.38003663003667,362.184065934066,2.566344151499204,2.6049729037638136,0.15811969778997148
733,3.0655383793943196,2.9344616206056804,61.31076758788639,58.68923241211361,-0.3515625,0.4964342909892742,-2.6318364302378163,1.3537953464494252,369.65567765567766,362.54853479853483,2.5673070028498843,2.606833567538162,0.21194499062945715
766,3.077566401753433,2.922433598246567,61.55132803506866,58.44867196493134,-0.439453125,0.5422815179169439,-2.6393769721226876,1.384444432023319,370.56684981684987,361.8195970695971,2.5693941766418527,2.6090815260671496,0.2405604471822707
800,3.0950866310713234,2.9049133689286766,61.90173262142647,58.09826737857353,-0.703125,0.5885051464844673,-7.897239367343278,1.384444432023319,372.0247252747253,359.4505494505495,2.5675257237988363,2.6090815260671496,0.3504045863578143
833,3.123652812801515,2.876347187198485,62.47305625603029,57.52694374396971,-1.318359375,0.6346996006544363,-18.43852947637648,1.384444432023319,373.48260073260076,353.61904761904754,2.5675257237988363,2.6106618926739946,0.5713236346038202
866,3.158272259996342,2.841727740003658,63.16544519992684,56.83455480007316,-1.93359375,0.6808816446644932,-18.443484326345786,1.384444432023319,377.49175824175825,350.52106227106225,2.5644520627921024,2.6049729037638136,0.6923889438965555
900,3.2032821545384302,2.7967178454615698,64.0656430907686,55.93435690923139,-2.724609375,0.7268924799695273,-23.801288770666556,1.384444432023319,381.13644688644695,345.2362637362637,2.559970265043312,2.6043487408543475,0.9001978908417662
933,3.25833327726184,2.74166672273816,65.1666655452368,54.833334454763204,-3.603515625,0.7730540397398242,-26.359526630769437,1.384444432023319,386.0567765567766,339.5869963369963,2.5568436790492166,2.6043487408543475,1.1010224544681932
966,3.326574287367083,2.6734257126329175,66.53148574734166,53.468514252658345,-4.658203125,0.8191643238416549,-31.66660681758019,1.384444432023319,393.34615384615387,333.2087912087912,2.5568436790492166,2.6037542431047696,1.364820202104859
1000,3.4097974982820123,2.5902025017179877,68.19594996564025,51.80405003435975,-5.888671875,0.8654042597801103,-36.84078654398545,1.384444432023319,400.99999999999994,320.4523809523809,2.5525873826679235,2.601633064785834,1.6644642182985878
1033,3.516077840983205,2.483922159016795,70.3215568196641,49.6784431803359,-7.55859375,0.9114893677599618,-50.16618476338301,1.384444432023319,410.84065934065933,314.98534798534797,2.546744167519529,2.5984870017589823,2.125606854023848
1066,3.6474141073516204,2.352585892648379,72.94828214703242,47.051717852967585,-9.580078125,0.9577846551713135,-60.451785567804016,1.384444432023319,423.41483516483515,303.3223443223443,2.534039998790263,2.5984870017589823,2.626725327368316
1100,3.8037067712987804,2.1962932287012196,76.07413542597561,43.925864574024395,-11.77734375,1.0038110516316738,-66.09233818309814,1.384444432023319,436.17124542124543,289.8369963369964,2.534039998790263,2.5913057387914424,3.12585327894319
1133,3.988993780109459,2.0110062198905414,79.77987560218918,40.22012439781083,-14.23828125,1.0500308868214345,-73.71361679340546,1.384444432023319,453.301282051282,277.80952380952374,2.518085387902429,2.578505678425121,3.705740176213561
1166,4.2006421183885205,1.799357881611479,84.01284236777042,35.98715763222958,-16.69921875,1.0960430290419634,-74.04635070245253,1.384444432023319,472.8003663003663,265.4175824175824,2.499282840217375,2.5707598392149675,4.232966765581234
1200,4.441397174349737,1.5586028256502626,88.82794348699474,31.172056513005256,-19.248046875,1.1422869383359426,-76.30650089308305,1.384444432023319,491.57051282051276,254.84798534798531,2.482113215560015,2.5707598392149675,4.815101119224328
1233,4.7052140710616515,1.294785928938349,94.10428142123303,25.89571857876698,-21.533203125,1.1884622650216694,-68.51433598181129,1.384444432023319,508.51831501831504,243.36721611721612,2.482113215560015,2.5634081663737303,5.276337934238278
1266,4.995021119894395,1.0049788801056045,99.90042239788791,20.09957760211209,-23.73046875,1.234484868104346,-66.09778579327099,1.384444432023319,525.1016483516484,233.70879120879118,2.4572288237955813,2.5527731469247805,5.796140976654879
1300,5.0,1.0,100.0,20.0,-25.83984375,1.2806805779654353,-63.216096961830196,1.384444432023319,542.5961538461539,223.503663003663,2.4266596468505175,2.538105402127119,6.316896993362615
1333,5.0,1.0,100.0,20.0,-27.861328125,1.3269134878484117,-60.533347229813316,1.384444432023319,557.9038461538462,212.3873626373626,2.3906729812844767,2.538105402127119,6.843909195639445
1366,5.0,1.0,100.0,20.0,-29.970703125,1.373073023560949,-63.26563793851218,1.384444432023319,573.9404761904761,203.0934065934066,2.3906729812844767,2.521751965634575,7.455824873518381
1400,5.0,1.0,100.0,20.0,-31.81640625,1.4191311085698846,-55.4793672832585,1.384444432023319,585.9679487179486,193.25274725274724,2.3477410118934725,2.5005253245434265,7.938148639165683
1433,5.0,1.0,100.0,20.0,-33.662109375,1.4653961943259168,-55.23113969892759,1.384444432023319,596.5375457875458,183.41208791208794,2.298237103566869,2.47195088298941,8.512932575057608
1466,5.0,1.0,100.0,20.0,-35.15625,1.5114172080663524,-44.94804657298535,1.384444432023319,600.0,173.75366300366298,2.260273612440474,2.47195088298941,8.94584798198423
1500,5.0,1.0,100.0,20.0,-36.298828125,1.55759645826758,-34.25425740814311,1.384444432023319,600.0,164.27747252747255,2.260273612440474,2.4265525366399108,9.332906518930447
1533,5.0,1.0,100.0,20.0,-37.353515625,1.603696692687318,-31.673510021771797,1.384444432023319,600.0,156.2591575091575,2.2606686427052267,2.3688458130402004,9.796523580163099
1566,5.0,1.0,100.0,20.0,-38.49609375,1.6499009390327632,-34.23572611662844,1.384444432023319,600.0,145.32509157509156,2.260154557194497,2.3029968814121586,10.335419738172519
1600,5.0,1.0,100.0,20.0,-39.287109375,1.6959737406861173,-23.769276848284903,1.384444432023319,600.0,137.1245421245421,2.2603696726070663,2.2426729765994433,10.69728659311981
1633,5.0,1.0,100.0,20.0,-40.078125,1.7423294812479737,-23.624197659260595,1.384444432023319,600.0,127.64835164835162,2.2601332900631705,2.2426729765994433,11.171513002844401
1666,5.0,1.0,100.0,20.0,-40.869140625,1.78859759201505,-23.66894086485937,1.384444432023319,600.0,120.72344322344324,2.2601332900631705,2.1925889349515595,11.653958227437416
1700,5.0,1.0,100.0,20.0,-41.30859375,1.8345575863671368,-13.237565422239307,1.384444432023319,600.0,118.90109890109892,2.2601898104374976,2.192787959719143,11.980516855959502
1733,5.0,1.0,100.0,20.0,-41.30859375,1.8806520518069458,0.0,1.384444432023319,600.0,119.9945054945055,2.2603413509827592,2.1926937453944273,12.214547083884455
1766,5.0,1.0,100.0,20.0,-41.30859375,1.926791331712999,0.0,1.384444432023319,600.0,120.72344322344324,2.2604332537024545,2.1926937453944273,12.58169361728808
1800,5.0,1.0,100.0,20.0,-41.30859375,1.972985477151898,0.0,1.384444432023319,600.0,121.6346153846154,2.2604332537024545,2.192487886687669,12.949662070007628
1833,5.0,1.0,100.0,20.0,-41.30859375,2.01915165127548,0.0,1.384444432023319,600.0,122.18131868131869,2.260556608678196,2.1926937453944273,13.317792580169394
