ms,ca,cb,caper,cbper,q,qdes,dq,dqdes,pa,pb,Ta,Tb,pid_u
0,3.0000000837298924,2.9999999162701076,60.00000167459784,59.99999832540216,-0.0,6.945799683324173e-10,0.0,0.00016744936547082438,-99.59798534798533,-146.06776556776558,2.2597878568008753,2.190972118062681,1.6745978431440527e-06
33,3.0004257159646106,2.9995742840353894,60.00851431929221,59.99148568070779,-0.0,0.011233157194504625,0.0,0.6734002872267986,-146.06776556776558,-146.25,2.2597243029337797,2.191026836291856,0.00851264469436937
66,3.0014615270526668,2.9985384729473332,60.02923054105333,59.97076945894667,-0.0,0.045058669833777244,0.0,1.3486882148401895,-146.06776556776558,-146.25,2.2597243029337797,2.1907046239693075,0.020716221761118432
100,3.0032947651438313,2.9967052348561687,60.06589530287663,59.93410469712337,-0.0,0.10104889155219617,0.0,2.0197060019774216,-146.06776556776558,-146.25,2.259995870021903,2.1909017375480047,0.036664761823304255
133,3.0061481209284273,2.9938518790715727,60.12296241856854,59.87703758143146,-0.0,0.18117498878692995,0.0,2.704403570671487,-146.25,-146.25,2.2592628667219934,2.190629293237374,0.05706711569190617
166,3.010194194895699,2.989805805104301,60.203883897913975,59.796116102086025,-0.0,0.2807267540314059,0.0,3.3663888613031023,-146.06776556776558,-146.06776556776558,2.2595728244365687,2.190629293237374,0.08092147934543617
200,3.0156683623265836,2.9843316376734164,60.31336724653167,59.68663275346833,-0.0,0.4039468090300764,0.0,4.038168809486207,-146.25,-146.06776556776558,2.2595728244365687,2.1908485683107823,0.10948334861769035
233,3.022800328002096,2.977199671997904,60.456006560041914,59.543993439958086,-0.0,0.549651321628487,0.0,4.710489254186289,-146.25,-146.06776556776558,2.259516327203893,2.1906704323795405,0.14263931351024395
266,3.031828809107004,2.968171190892996,60.63657618214008,59.36342381785992,-0.0,0.7178173329393988,0.0,5.383061599571228,-145.88553113553112,-146.25,2.259378963426555,2.1908485683107823,0.1805696220981657
300,3.043041002611243,2.956958997388757,60.86082005222486,59.13917994777514,-0.0,0.9118611116969669,0.0,6.06717785899279,-146.25,-146.06776556776558,2.259586920190953,2.1908485683107823,0.2242438700847794
333,3.056649807340369,2.943350192659631,61.13299614680737,58.86700385319263,-0.0,1.1244816238450765,0.0,6.737496621730175,-146.06776556776558,-146.25,2.259586920190953,2.191129769483166,0.2721760945825153
367,3.0730047455385634,2.9269952544614366,61.460094910771275,58.539905089228725,-0.0,1.366709415595338,0.0,7.42780463227582,-146.25,-146.25,2.259885850562542,2.190540180785448,0.3270987639639054
400,3.0922048538265927,2.9077951461734073,61.84409707653185,58.15590292346815,-0.0,1.6161193198788557,0.0,8.077167518695855,-146.25,-146.25,2.259706046136777,2.19097895772923,0.38400216576057444
433,3.114633838318886,2.885366161681114,62.29267676637771,57.70732323362229,-0.0,1.896473185897052,0.0,8.74975177284712,-146.25,-146.06776556776558,2.259470807457647,2.19097895772923,0.44857968984585794
466,3.1405713353296703,2.8594286646703297,62.81142670659341,57.18857329340659,-0.0,2.1980156199068173,0.0,9.419715069001276,-146.25,-146.06776556776558,2.259470807457647,2.1907870179596567,0.5187499402156964
501,3.170457660919145,2.829542339080855,63.4091532183829,56.5908467816171,-0.0,2.5333482449882734,0.0,10.112762923363894,-146.25,-146.25,2.2599676709914136,2.1905951034111797,0.5977265117894852
