ms,ca,cb,caper,cbper,q,qdes,dq,dqdes,pa,pb,Ta,Tb,pid_u
0,3.000000025897446,2.999999974102554,60.000000517948926,59.999999482051074,-0.0,8.439771539523634e-11,0.0,5.179362695822486e-05,364.3708791208792,363.2774725274726,2.568382405001094,2.5971211136590013,5.17948929308321e-07
33,3.000336535691421,2.999663464308579,60.00673071382841,59.99326928617159,-0.0,0.008904408149383381,0.0,0.5320022981508442,362.00183150183153,361.6373626373627,2.568609245324062,2.5970886530975736,0.006730195879481146
66,3.001151129270771,2.998848870729229,60.02302258541542,59.97697741458458,-0.0,0.03541715485374959,0.0,1.061005937609518,362.7307692307692,363.2774725274726,2.5683130986737894,2.597083385432281,0.016291871587010898
100,3.0025964754674037,2.9974035245325963,60.05192950934808,59.94807049065192,-0.0,0.07970444586295086,0.0,1.5916671479432407,362.7307692307692,361.2728937728938,2.568134035313072,2.597083385432281,0.028906923932660394
133,3.004826302780135,2.995173697219865,60.09652605560271,59.90347394439729,-0.0,0.14130714063896968,0.0,2.1193029048453806,362.54853479853483,361.6373626373627,2.568134035313072,2.5970643080758777,0.044596546254632614
166,3.008008877969997,2.991991122030003,60.16017755939993,59.83982244060007,-0.0,0.22076610483359102,0.0,2.648970834517761,363.459706959707,362.7307692307692,2.568107436411408,2.5971807686460346,0.06365150379722168
200,3.0123167586083754,2.9876832413916246,60.246335172167505,59.753664827832495,-0.0,0.3178525705071423,0.0,3.1785119103299,364.3708791208792,362.184065934066,2.568256955604799,2.5977891105662043,0.08615761276756874
233,3.017933484071227,2.982066515928773,60.35866968142453,59.64133031857547,-0.0,0.4328804240267955,0.0,3.709325561433215,364.5531135531136,363.09523809523813,2.5674961955385016,2.5977891105662043,0.11233450925702479
266,3.0250431563175204,2.9749568436824796,60.5008631263504,59.4991368736496,-0.0,0.5652628110095452,0.0,4.238734221014418,365.4642857142857,362.54853479853483,2.5674961955385016,2.5995387143857753,0.1421934449258753
300,3.0338469549393,2.9661530450607,60.676939098786,59.323060901214,-0.0,0.715843272696568,0.0,4.770017288611767,366.5576923076923,362.54853479853483,2.566578834175038,2.6017395546251088,0.1760759724355952
333,3.046554717844425,2.953445282155575,60.9310943568885,59.0689056431115,-0.087890625,0.8832016095637628,-2.6437744022498952,5.298353189186163,366.37545787545787,361.2728937728938,2.5669388926962804,2.6041577475135917,0.25415525810249867
366,3.0620943010390733,2.9379056989609267,61.241886020781465,58.758113979218535,-0.17578125,1.069024340172177,-2.6315474697522747,5.829143891532765,368.92673992673997,362.184065934066,2.568868328128557,2.6041577475135917,0.31079166389296076
400,3.080721524926432,2.919278475073568,61.61443049852864,58.38556950147136,-0.263671875,1.271749502729353,-2.6418142019774637,6.357871812172563,370.0201465201465,361.8195970695971,2.568868328128557,2.6072702958104266,0.37254447774717986
433,3.104709247675373,2.895290752324627,62.09418495350745,57.90581504649255,-0.439453125,1.4932011796580618,-5.257559198042147,6.889221389842896,372.2069597069597,360.5439560439561,2.5720275264760626,2.610785295964157,0.47975445497880975
466,3.143139152292785,2.856860847707215,62.8627830458557,57.1372169541443,-1.0546875,1.7310891564132849,-18.500566969202243,7.417724463525683,374.94047619047615,355.62362637362645,2.5698965029037217,2.61300259237291,0.7685980923482466
500,3.201962799232507,2.7980372007674923,64.03925598465014,55.96074401534985,-2.197265625,1.9870341043233948,-34.295687827504324,7.947190796955055,378.4029304029304,349.06318681318675,2.5644890821942217,2.61300259237291,1.1764729387944466
533,3.2719723557915437,2.7280276442084563,65.43944711583087,54.56055288416912,-3.251953125,2.261066825651805,-31.60738162030716,8.477497652426113,384.7811355311356,339.5869963369963,2.5644890821942217,2.6089479226229626,1.4001911311807396
566,3.3652694562270797,2.63473054377292,67.30538912454159,52.6946108754584,-4.74609375,2.552811221064313,-44.77471269340287,9.0078330667029,389.5192307692308,330.83974358974353,2.5585387101633414,2.605837378751628,1.8659420087107228
600,3.4842359143954114,2.5157640856045886,69.68471828790823,50.315281712091775,-6.591796875,2.861805972984166,-55.38773388688432,9.537423599946198,405.3736263736264,321.36355311355305,2.552645509855981,2.602310942851463,2.37932916336663
633,3.632709960453549,2.367290039546451,72.65419920907098,47.34580079092902,-8.7890625,3.1877898186643083,-66.06749534818248,10.065974335208276,417.5833333333333,307.51373626373623,2.541694093227277,2.602310942851463,2.9694809211627593
666,3.8125421760219154,2.1874578239780846,76.25084352043831,43.74915647956169,-11.25,3.531972950497743,-73.86545807984552,10.595456275063219,436.17124542124543,294.757326007326,2.541694093227277,2.5970178968776083,3.596644311367325
700,4.025040234015308,1.974959765984692,80.50080468030616,39.49919531969384,-13.88671875,3.895481124521088,-78.78353228818983,11.127344433346885,453.84798534798534,282.0009157509157,2.529204277113755,2.5846444690545165,4.249961159867848
733,4.2673079514384815,1.7326920485615183,85.34615902876963,34.653840971230366,-16.435546875,4.274184612826144,-76.66949917751803,11.655680047856766,478.2673992673993,271.61355311355305,2.5142854839135427,2.581478228517099,4.845354348463472
766,4.541517168644097,1.4584828313559033,90.83034337288194,29.169656627118066,-18.984375,4.6696777608271365,-76.39400206404379,11.919367933680926,492.6639194139194,257.21703296703294,2.499027896589605,2.581478228517099,5.4841843441123
800,4.842962971801337,1.1570370281986624,96.85925943602675,23.140740563973246,-21.26953125,5.065731920105414,-68.77245823989115,11.919367933680926,508.88278388278394,247.01190476190473,2.499027896589605,2.5742091090193555,6.028916063144814
833,5.0,1.0,100.0,20.0,-23.466796875,5.4631296543757095,-65.90379152637762,11.919367933680926,526.195054945055,236.8067765567765,2.476425465442287,2.5639432320276287,6.630563482693273
866,5.0,1.0,100.0,20.0,-25.6640625,5.861163954409948,-65.79839332979995,11.919367933680926,543.5073260073261,226.78388278388277,2.4426810071499507,2.550246466707822,7.281992133219685
900,5.0,1.0,100.0,20.0,-27.861328125,6.2589982951277845,-65.8314648884963,11.919367933680926,557.7216117216117,216.39652014652012,2.410413453775346,2.550246466707822,7.9562975204264585
933,5.0,1.0,100.0,20.0,-29.70703125,6.65682534119235,-55.29944447177981,11.919367933680926,573.3937728937728,206.19139194139194,2.410413453775346,2.533043824519815,8.49093160679915
966,5.0,1.0,100.0,20.0,-31.640625,7.052787888208648,-58.20554371665681,11.919367933680926,587.2435897435896,196.71520146520143,2.3703921083517026,2.513648212966171,9.190775766478922
1000,5.0,1.0,100.0,20.0,-33.486328125,7.450524883448519,-55.31196470660692,11.919367933680926,597.0842490842491,186.69230769230768,2.3239029549566306,2.486618632989972,9.839861118695111
