ms,ca,cb,caper,cbper,q,qdes,dq,dqdes,pa,pb,Ta,Tb,pid_u
0,2.9999999899850467,3.0000000100149533,59.99999979970093,60.00000020029907,-0.0,-3.207712596969932e-11,0.0,-2.0029426108599947e-05,364.18864468864473,363.459706959707,2.5837284980190636,2.6033458315105404,-2.0029907268058069e-07
33,2.9998680013887493,3.0001319986112507,59.99736002777498,60.00263997222502,-0.0,-0.003485471387693693,0.0,-0.20878608078693156,362.36630036630044,362.184065934066,2.5837284980190636,2.6035663161069973,-0.0026397719259501754
66,2.999547657771763,3.000452342228237,59.99095315543526,60.00904684456474,-0.0,-0.013924206142801529,0.0,-0.4173073204074368,363.8241758241759,362.54853479853483,2.5844909724949523,2.60340584398605,-0.006406872339725736
100,2.998979636208156,3.001020363791844,59.979592724163126,60.020407275836874,-0.0,-0.03131060144928942,0.0,-0.625772517657453,362.91300366300374,362.00183150183153,2.583709708895084,2.603294108137128,-0.011360431272133976
133,2.9981007419289925,3.0018992580710075,59.962014838579854,60.037985161420146,-0.0,-0.05572112452259513,0.0,-0.8347966878501456,364.0064102564103,363.459706959707,2.5836369559498147,2.603294108137128,-0.017577885583271127
166,2.9968469515664355,3.0031530484335645,59.93693903132871,60.06306096867129,-0.0,-0.08699332423648033,0.0,-1.0430706956918263,363.2774725274726,363.2774725274726,2.5836369559498147,2.6034820056629333,-0.025075807251143903
200,2.9951513642382674,3.0048486357617326,59.90302728476535,60.09697271523465,-0.0,-0.12511381003107344,0.0,-1.2509023427461823,363.2774725274726,362.91300366300374,2.584221467882699,2.603520445001521,-0.03391174656336532
233,2.9929403411306925,3.0070596588693075,59.85880682261385,60.14119317738615,-0.0,-0.17041316405716705,0.0,-1.459897453699931,363.8241758241759,363.64194139194143,2.583992415040535,2.603313254178533,-0.044220462151502805
266,2.9901428975768476,3.0098571024231524,59.80285795153696,60.19714204846304,-0.0,-0.22241424162681528,0.0,-1.6678311363920857,362.184065934066,363.64194139194143,2.583874014716208,2.6030788011556996,-0.05594887107689393
300,2.986679306071533,3.013320693928467,59.73358612143066,60.26641387856934,-0.0,-0.28162475505432283,0.0,-1.8767490061740861,362.54853479853483,362.184065934066,2.583874014716208,2.6030788011556996,-0.06927183010629562
333,2.9824729489415795,3.0175270510584205,59.64945897883159,60.35054102116841,-0.0,-0.3475217751252939,0.0,-2.084787488476498,361.4551282051283,363.09523809523813,2.583284112445463,2.6043894869134765,-0.08412714259907236
367,2.975430766984993,3.024569233015007,59.508615339699865,60.491384660300135,0.087890625,-0.4215001415252496,2.602308810938309,-2.295988156284872,364.18864468864473,366.5576923076923,2.5844990286041996,2.60333768712021,-0.14084363913172082
400,2.9667227199427835,3.0332772800572165,59.33445439885567,60.66554560114433,0.17578125,-0.5006303142123892,2.6647197584627578,-2.5022422499727015,357.99267399267404,360.90842490842493,2.586337795731082,2.6047685425671916,-0.1741609408441965
433,2.956258922681585,3.043741077318415,59.1251784536317,60.8748215463683,0.263671875,-0.5874672028151168,2.6380401970959237,-2.710582274252401,362.54853479853483,367.1043956043956,2.586337795731082,2.6047685425671916,-0.20927594522396872
466,2.9438983297938393,3.0561016702061607,58.877966595876785,61.122033404123215,0.3515625,-0.6813204736844454,2.636002073749859,-2.919083384394525,362.91300366300374,367.6510989010989,2.5901509634420066,2.607093157049986,-0.24721185775491036
500,2.927491409534614,3.072508590465386,58.54982819069228,61.45017180930772,0.52734375,-0.781776462144336,5.289719945670529,-3.1268862035829494,363.459706959707,370.0201465201465,2.591319502592805,2.6093251063933383,-0.32813840518450343
533,2.90820233913389,3.09179766086611,58.1640467826778,61.8359532173222,0.703125,-0.8898950820106342,5.2538282166301995,-3.33610863570362,363.8241758241759,373.48260073260076,2.594948169630883,2.612118178393789,-0.3857814080144811
566,2.8797788231825217,3.1202211768174783,57.59557646365044,62.40442353634956,1.142578125,-1.0042012490273617,13.225184176951881,-3.543897559986284,358.17490842490844,373.3003663003663,2.594948169630883,2.612118178393789,-0.5684703190273591
600,2.839898897941341,3.160101102058659,56.79797795882682,63.20202204117318,1.845703125,-1.1258919887273269,21.079130990264414,-3.7524865607255,349.9743589743589,373.66483516483515,2.5945580344528207,2.6078793211518514,-0.797598504823616
633,2.7880523451561765,3.2119476548438235,55.76104690312353,64.23895309687647,2.724609375,-1.25439220307963,26.37852472619601,-3.9608414116576984,346.14743589743586,381.31868131868134,2.5926561067552103,2.605449935466502,-1.0369310557032931
666,2.724413551021924,3.2755864489780753,54.48827102043848,65.51172897956151,3.69140625,-1.3900078463492958,28.980234325200527,-4.169456113595925,339.5869963369963,386.7857142857143,2.5944954845189945,2.600974571804735,-1.2727758826850442
700,2.6416751928597084,3.3583248071402916,52.833503857194174,67.16649614280583,5.009765625,-1.5322053771177817,39.62094518931249,-4.377531421777381,331.2042124542124,394.07509157509156,2.588416068328024,2.600974571804735,-1.654767163244308
733,2.540550071949411,3.4594499280505886,50.81100143898822,69.18899856101177,6.50390625,-1.6820850367679703,44.681627612335845,-4.586641062527238,321.54578754578756,403.1868131868132,2.588416068328024,2.595186786907786,-2.0225024182059506
766,2.412708344323401,3.5872916556765984,48.25416688646803,71.74583311353197,8.4375,-1.8372155872189724,58.13744679754765,-4.6899998610243205,310.61172161172163,415.03205128205127,2.5815319838313378,2.5873253708369606,-2.5568345525201934
800,2.25805083407117,3.74194916592883,45.16101668142339,74.83898331857661,10.634765625,-1.9934796383689266,65.94719258874488,-4.6899998610243205,296.57967032967036,428.6996336996337,2.5787097738413935,2.5781271307987343,-3.093150205044635
833,2.073563377692091,3.9264366223079095,41.47126755384182,78.52873244615819,13.095703125,-2.150307268041591,73.59542803190972,-4.6899998610243205,282.9120879120878,445.4652014652014,2.5676697338469645,2.5781271307987343,-3.689749127581571
866,1.8577853788547074,4.142214621145293,37.15570757709415,82.84429242290585,15.732421875,-2.3062695974301644,79.28972733056777,-4.6899998610243205,272.3424908424908,465.3287545787545,2.5676697338469645,2.5667813752564754,-4.3155599767476716
900,1.6145495311800544,4.385450468819945,32.29099062360109,87.70900937639891,18.28125,-2.46294410798736,76.29833027409367,-4.6899998610243205,260.3150183150182,482.2765567765568,2.5503306982041494,2.5543020670990826,-4.864716953493058
933,1.3451294278674384,4.6548705721325625,26.90258855734877,93.09741144265124,20.654296875,-2.6188352197278,71.39335520606875,-4.6899998610243205,249.38095238095238,501.0467032967033,2.5383860214710947,2.541935604227492,-5.3884020662523175
