q_des
"[2.0938837754639,1.569262346007011]"
"[2.0923497946760143,1.5753982691585535]"
"[2.0938837754639,1.581534192310096]"
"[2.0938837754639,1.5876701154616386]"
"[2.0938837754639,1.5953400194010667]"
"[2.0938837754639,1.6014759425526093]"
"[2.0938837754639,1.6060778849162662]"
"[2.0938837754639,1.6137477888556946]"
"[2.0923497946760143,1.6214176927951227]"
"[2.0938837754639,1.6275536159466653]"
"[2.090815813888129,1.6336895390982078]"
"[2.090815813888129,1.6413594430376361]"
"[2.089281833100243,1.6459613854012929]"
"[2.087747852312358,1.6536312893407212]"
"[2.089281833100243,1.6582332317043782]"
"[2.086213871524472,1.6659031356438063]"
"[2.084679890736586,1.6735730395832344]"
"[2.083145909948701,1.6781749819468914]"
"[2.081611929160815,1.6858448858863198]"
"[2.0800779483729293,1.6919808090378623]"
"[2.078543967585044,1.6981167321894048]"
"[2.077009986797158,1.7042526553409474]"
"[2.0754760060092723,1.7119225592803755]"
"[2.073942025221387,1.714990520856147]"
"[2.0708740636456158,1.722660424795575]"
"[2.06934008285773,1.7287963479471176]"
"[2.067806102069844,1.73493227109866]"
"[2.066272121281959,1.7426021750380885]"
"[2.063204159706187,1.748738098189631]"
"[2.060136198130416,1.7548740213411735]"
"[2.0586022173425302,1.761009944492716]"
"[2.057068236554645,1.7671458676442586]"
"[2.052466294190988,1.7717478100079156]"
"[2.050932313403102,1.7778837331594581]"
"[2.047864351827331,1.7840196563110007]"
"[2.04479639025156,1.7916895602504288]"
"[2.041728428675788,1.7978254834019713]"
"[2.038660467100017,1.8039614065535141]"
"[2.0371264863121317,1.8100973297050567]"
"[2.0325245439484747,1.8146992720687134]"
"[2.029456582372703,1.8193012144323704]"
"[2.026388620796932,1.825437137583913]"
"[2.0233206592211608,1.8331070415233413]"
"[2.0202526976453896,1.8377089838869982]"
"[2.017184736069618,1.8438449070385408]"
"[2.012582793705961,1.8499808301900833]"
"[2.00951483213019,1.8545827725537403]"
"[2.0064468705544187,1.8607186957052828]"
"[2.0033789089786476,1.8653206380689396]"
"[1.9987769666149904,1.8699225804325965]"
"[1.9957090050392192,1.8745245227962535]"
"[1.9911070626755623,1.8821944267356818]"
"[1.9865051203119053,1.8867963690993386]"
"[1.9834371587361341,1.8913983114629955]"
"[1.9803691971603627,1.897534234614538]"
"[1.9757672547967058,1.9006021961903095]"
"[1.9711653124330488,1.906738119341852]"
"[1.966563370069392,1.9128740424933945]"
"[1.9619614277057351,1.9174759848570515]"
"[1.9573594853420782,1.9205439464328227]"
"[1.9527575429784212,1.928213850372251]"
"[1.9481556006147642,1.932815792735908]"
"[1.9435536582511073,1.9374177350995647]"
"[1.9389517158874505,1.9420196774632217]"
"[1.9343497735237936,1.945087639038993]"
"[1.9312818119480222,1.94968958140265]"
"[1.9251458887964796,1.9558255045541926]"
"[1.9205439464328227,1.9588934661299637]"
"[1.9144080232812801,1.9619614277057351]"
"[1.9098060809176232,1.9680973508572777]"
