ms,ca,cb,caper,cbper,q,qdes,dq,dqdes,pa,pb,Ta,Tb,pid_u
0,3.0000000553922774,2.9999999446077226,60.00000110784555,59.99999889215445,0.0,3.3034474958753857e-10,0.0,0.00011077959997366358,362.184065934066,362.00183150183153,2.5790132151280702,2.60965031563582,1.107845551941618e-06
33,3.0003916988891115,2.9996083011108885,60.007833977782234,59.992166022217766,0.0,0.010335347415948532,0.0,0.6196388341133341,361.4551282051283,359.8150183150184,2.5790267402204208,2.60965031563582,0.00783286993668392
66,3.00134289125433,2.99865710874567,60.026857825086594,59.973142174913406,0.0,0.041337924716614995,0.0,1.2392257333295429,362.00183150183153,361.8195970695971,2.5789784166815686,2.6101865847874355,0.01902384730436029
100,3.00302969278106,2.99697030721894,60.0605938556212,59.9394061443788,0.0,0.09297169123095071,0.0,1.8584524502285642,362.7307692307692,362.36630036630044,2.5789784166815686,2.6093963661803774,0.033736030534603445
133,3.0056366168110404,2.9943633831889596,60.112732336220816,59.887267663779184,0.0,0.16521430224499994,0.0,2.4774215358222107,362.00183150183153,363.09523809523813,2.579784315230359,2.609365825914207,0.05213848059961984
167,3.0093690480914663,2.9906309519085337,60.187380961829334,59.812619038170666,0.0,0.259086963869633,0.0,3.10240769631885,363.64194139194143,361.2728937728938,2.5788762795599434,2.609365825914207,0.07464862560851608
200,3.014405084247455,2.985594915752545,60.2881016849491,59.7118983150509,0.0,0.3715927638424221,0.0,3.7154353803959577,362.54853479853483,360.72619047619054,2.579206662247035,2.609341308060353,0.1007207231197652
233,3.0209669416189193,2.9790330583810807,60.419338832378386,59.580661167621614,0.0,0.5056952856707452,0.0,4.334315697423305,363.2774725274726,361.0906593406594,2.579206662247035,2.6089968042376896,0.13123714742928716
266,3.0252717097988637,2.9747282902011363,60.50543419597727,59.49456580402273,0.17578125,0.6614391694020685,5.243362725046052,4.957024244814298,364.735347985348,359.8150183150184,2.582258480124667,2.609333278896777,0.08609536359888523
300,3.0320855253752628,2.9679144746247372,60.64171050750525,59.35828949249475,0.263671875,0.836981025135854,2.6368829222877044,5.576142894026981,364.18864468864473,361.0906593406594,2.5831548864143854,2.6110750410970263,0.1362763115279761
