ms,ca,cb,caper,cbper,q,qdes,dq,dqdes,pa,pb,Ta,Tb,pid_u
0,2.999999977211162,3.000000022788838,59.999999544223236,60.000000455776764,0.0,-2.3801076891845117e-10,0.0,-4.557410587384567e-05,363.459706959707,362.00183150183153,2.589077875113054,2.5939941716616897,-4.5577676097530007e-07
33,2.999907515359567,3.000092484640433,59.99815030719134,60.00184969280866,0.0,-0.002447897636658499,0.0,-0.1461559431294986,360.90842490842493,360.36172161172163,2.58918869694161,2.5948804868124067,-0.001849237031895817
66,2.9996836308532586,3.0003163691467414,59.993672617065165,60.006327382934835,0.0,-0.009738906908559386,0.0,-0.2915244337784723,362.00183150183153,362.36630036630044,2.58918869694161,2.5948804868124067,-0.004477690126170037
100,2.999287356925306,3.000712643074694,59.98574713850612,60.01425286149388,0.0,-0.02184277591400318,0.0,-0.4365899842508534,362.54853479853483,362.36630036630044,2.5842160980041737,2.598104045627571,-0.00792547855904704
133,2.9986750001260054,3.0013249998739946,59.973500002520105,60.026499997479895,0.0,-0.03880855969012686,0.0,-0.5819472439040457,362.91300366300374,362.54853479853483,2.587457599936268,2.5977404011658316,-0.012247135986013588
166,2.9978004497509283,3.0021995502490717,59.95600899501857,60.04399100498143,0.0,-0.060676232817755534,0.0,-0.7276610985733587,362.91300366300374,362.7307692307692,2.5869529469936303,2.598693616674635,-0.017491007501536725
200,2.9966171585566155,3.0033828414433845,59.93234317113231,60.06765682886769,0.0,-0.0873150317983508,0.0,-0.8728997346558751,362.7307692307692,362.184065934066,2.5869529469936303,2.598693616674635,-0.02366582388626269
233,2.995075796710132,3.004924203289868,59.90151593420264,60.09848406579736,0.0,-0.1187862144142341,0.0,-1.0181291555618317,360.72619047619054,363.64194139194143,2.580405307728316,2.60258014019873,-0.030827236929667455
266,2.993122710985057,3.006877289014943,59.86245421970114,60.13754578029886,0.0,-0.15529149251688135,0.0,-1.164109102795066,362.00183150183153,363.2774725274726,2.5799591008893916,2.602795385313651,-0.039061714501501504
300,2.9907076751280925,3.0092923248719075,59.81415350256185,60.18584649743815,0.0,-0.1963567225672303,0.0,-1.309009325508215,361.6373626373627,362.36630036630044,2.5787017447853806,2.6037705358333327,-0.04830071713928867
333,2.9877713159937205,3.0122286840062795,59.75542631987441,60.24457368012559,0.0,-0.24260254996659233,0.0,-1.4550152122400977,362.184065934066,362.54853479853483,2.5787017447853806,2.6037705358333327,-0.05872718268743823
366,2.9842579658682507,3.0157420341317493,59.68515931736501,60.31484068263499,0.0,-0.2935299581558257,0.0,-1.600464588746345,361.8195970695971,363.8241758241759,2.577367470564762,2.6054336269725114,-0.0702670025093955
400,2.9801105830598917,3.0198894169401083,59.60221166119784,60.39778833880216,0.0,-0.34908617121287583,0.0,-1.7453646500191107,361.0906593406594,363.459706959707,2.576675255904962,2.605837378751628,-0.08294765616717106
433,2.9752622261296415,3.0247377738703585,59.50524452259283,60.49475547740717,0.0,-0.40994608492136997,0.0,-1.891399303631995,361.8195970695971,363.8241758241759,2.576184443651249,2.6069893452293407,-0.09696713860500597
466,2.9696517357263534,3.0303482642736466,59.393034714527076,60.606965285472924,0.0,-0.47544131182413213,0.0,-2.0368934470431923,361.4551282051283,364.5531135531136,2.576184443651249,2.6069893452293407,-0.11220980806575674
500,2.9652324524326423,3.0347675475673577,59.30464904865284,60.69535095134716,-0.087890625,-0.5456078517152962,-2.6423105132036713,-2.1820271950514085,361.2728937728938,364.9175824175824,2.5764151318567965,2.6088052993704975,-0.0883856658742341
533,2.958632488313558,3.041367511686442,59.172649766271164,60.827350233728836,-0.087890625,-0.6208588392286843,0.0,-2.3276425494396364,361.6373626373627,366.0109890109891,2.577300333653742,2.609682868585193,-0.13199928238167447
566,2.9531196839735743,3.0468803160264257,59.062393679471484,60.937606320528516,-0.17578125,-0.7008265232275065,-2.6381405230647594,-2.473005703839486,361.8195970695971,366.9221611721612,2.5779338051162273,2.6114914458198717,-0.11025608679968091
600,2.947335628139655,3.052664371860345,58.9467125627931,61.0532874372069,-0.263671875,-0.7858004133537929,-2.6332089720861225,-2.618641098617497,361.4551282051283,367.4688644688645,2.5779338051162273,2.6114914458198717,-0.11568111667837937
633,2.9412582362530784,3.0587417637469216,58.82516472506156,61.17483527493844,-0.3515625,-0.8751350439421475,-2.6475655613559392,-2.763486776390387,362.00183150183153,368.01556776556777,2.5795506376404655,2.6139231067349002,-0.12154783773154132
666,2.932816418808999,3.067183581191001,58.65632837617998,61.34367162382002,-0.3515625,-0.9697921467335484,0.0,-2.9091035793758873,360.36172161172163,368.92673992673997,2.580676753969981,2.614798225785884,-0.1688363488815814
700,2.9293030975072814,3.0706969024927186,58.58606195014563,61.41393804985437,-0.615234375,-1.0691214100401014,-7.915200132087654,-3.0544524354186273,357.81043956043965,369.2912087912088,2.5783392085966192,2.6159581549657034,-0.07026642603435222
733,2.9328391107747156,3.0671608892252844,58.65678221549431,61.34321778450569,-1.142578125,-1.1732515395155876,-15.836492961598356,-3.1997453720982363,355.9880952380953,369.65567765567766,2.577979424074435,2.6159581549657034,0.0707202653486817
766,2.9315739382709456,3.0684260617290544,58.63147876541891,61.36852123458109,-1.318359375,-1.2818327270843044,-5.2683413806926405,-3.2724345871595775,353.801282051282,370.20238095238096,2.577979424074435,2.612085579867176,-0.02530345007540026
800,2.926825271598963,3.073174728401037,58.53650543197926,61.46349456802074,-1.318359375,-1.391033937978561,0.0,-3.2724345871595775,353.9835164835164,369.65567765567766,2.5769810118092886,2.6099510592316473,-0.09497333343965313
833,2.9211836644179554,3.0788163355820446,58.42367328835911,61.57632671164089,-1.318359375,-1.500010604229087,0.0,-3.2724345871595775,353.25457875457874,371.1135531135531,2.5754685229102194,2.610593594149269,-0.11283214362014499
866,2.9186330604253667,3.0813669395746333,58.37266120850734,61.62733879149266,-1.494140625,-1.609032446439025,-5.276306386076721,-3.2724345871595775,352.7078754578754,370.74908424908426,2.5751255042406407,2.610593594149269,-0.05101207985177543
900,2.9145479392127633,3.0854520607872367,58.29095878425527,61.70904121574473,-1.58203125,-1.718069436749188,-2.637786684307121,-3.2724345871595775,352.7078754578754,371.8424908424908,2.5751255042406407,2.610878141183727,-0.08170242425207429
933,2.910235959420752,3.089764040579248,58.204719188415034,61.795280811584966,-1.669921875,-1.82724205965513,-2.6345095819935453,-3.2724345871595775,351.9789377289377,371.6602564102564,2.574635134700766,2.6101917489204705,-0.08623959584023269
966,2.903675538250647,3.096324461749353,58.07351076501294,61.92648923498706,-1.669921875,-1.936555708130055,0.0,-3.2724345871595775,351.24999999999994,371.8424908424908,2.5738848833034345,2.6095789020481313,-0.13120842340209632
